iter	TotalF1	MultiClass
0	0.7063147684	0.9361383105
1	0.8273053794	0.7120043511
2	0.8714697225	0.5607159873
3	0.8722634023	0.4786850552
4	0.8818458611	0.4299726593
5	0.8817470584	0.4042480242
6	0.8768291265	0.3847245922
7	0.8847151613	0.3767526854
8	0.8882699073	0.363610471
9	0.8912933433	0.3518006462
10	0.8922383837	0.3395876392
11	0.8930325222	0.3373699396
12	0.8946251881	0.3311392068
13	0.8966975694	0.327277519
14	0.8994001054	0.3240569643
15	0.9003824335	0.3204680686
16	0.9002169372	0.3158340789
17	0.9009841874	0.3154088849
18	0.9013511806	0.3088292075
19	0.9021985811	0.3055836795
20	0.9024182581	0.3039404208
21	0.9026615253	0.30167856
22	0.9030417308	0.2992396552
23	0.9040564092	0.2984076571
24	0.9045127333	0.2961407322
25	0.9043766271	0.2951177886
26	0.9044411314	0.2940196805
27	0.9048665708	0.2892288148
28	0.9050924179	0.2871061471
29	0.9069756493	0.2813896591
30	0.9087646785	0.2772426618
31	0.90901723	0.276323546
32	0.908910833	0.2741124621
33	0.9099533433	0.2719898046
34	0.9100007614	0.2705938026
35	0.9125557937	0.2644971664
36	0.9126777687	0.2598720003
37	0.9134223605	0.2570702269
38	0.9144638297	0.2540427348
39	0.914577231	0.2513144718
40	0.9165383617	0.2482738702
41	0.9163211211	0.2470854901
42	0.9160400844	0.2448273546
43	0.9157696707	0.2418812251
44	0.9159378464	0.2416111382
45	0.9178267868	0.2394621453
46	0.9158639651	0.2378597416
47	0.9158870264	0.2370471089
48	0.9163394704	0.2363826538
49	0.917135464	0.2339827077
50	0.9193126689	0.2325465397
51	0.9188510756	0.2307237097
52	0.9192966232	0.2304255426
53	0.9193218731	0.2299809044
54	0.9196626096	0.2285993798
55	0.9214843998	0.2273489864
56	0.9217025651	0.2253938725
57	0.9223524628	0.2227616038
58	0.9222218145	0.2222690744
59	0.9240728966	0.220138173
60	0.9240728966	0.2197345575
61	0.9245268137	0.2191614269
62	0.9256955069	0.2176877596
63	0.9262332784	0.2151516198
64	0.9259167677	0.2147839431
65	0.9259167677	0.2142981311
66	0.9268231938	0.2133911724
67	0.9282167466	0.2124488729
68	0.9271915956	0.2114060222
69	0.9274313349	0.2111403925
70	0.928241144	0.2105755742
71	0.9278465532	0.2102698883
72	0.9265343455	0.2084225487
73	0.9265343455	0.2080885066
74	0.9276811217	0.2073792853
75	0.9274781436	0.2067446005
76	0.928318523	0.204774371
77	0.9282220152	0.2037506894
78	0.9289721866	0.2032008648
79	0.9291983796	0.2025545351
80	0.9289721866	0.2022014403
81	0.9299902584	0.2012216539
82	0.9309102689	0.2006755433
83	0.931374005	0.1995764374
84	0.9315298042	0.1989233589
85	0.9308711893	0.1984996161
86	0.9310924446	0.1970915676
87	0.9318748431	0.1965603916
88	0.9319826909	0.1961992387
89	0.9332185998	0.1948546774
90	0.9329930576	0.1946409436
91	0.933444081	0.1944294268
92	0.9331693206	0.1939740976
93	0.9331668409	0.193554656
94	0.9345199121	0.1923494131
95	0.9350078771	0.1920926271
96	0.9354007139	0.191647694
97	0.9359058248	0.1907081221
98	0.9364675235	0.1896499524
99	0.9374867882	0.1888261042
100	0.9379370745	0.1880525356
101	0.9390259115	0.186291375
102	0.9397006036	0.1859225517
103	0.9397006036	0.185523903
104	0.9397885326	0.1848980679
105	0.9394743526	0.1836910705
106	0.9393804984	0.1834061254
107	0.9398728989	0.1827035823
108	0.9395165692	0.1824431096
109	0.9398406368	0.181763165
110	0.9404217867	0.1809183665
111	0.9405153223	0.180578271
112	0.9406528814	0.1803010675
113	0.9409180084	0.1794962232
114	0.9405321322	0.178807649
115	0.9419667137	0.1776959993
116	0.942440069	0.1772660965
117	0.9435313906	0.1768572927
118	0.9430448781	0.1766224238
119	0.9431037155	0.1763063688
120	0.9433515419	0.1760701103
121	0.9431421426	0.1757291708
122	0.9438978872	0.1752736785
123	0.9438978872	0.1751294314
124	0.9442043953	0.1730260932
125	0.9447995656	0.1722886276
126	0.945144814	0.1718976753
127	0.9449979434	0.1715855275
128	0.9446816789	0.1712411832
129	0.9456262177	0.1699414628
130	0.9459816169	0.1696286842
131	0.9462973785	0.1692687143
132	0.9462255961	0.1679545715
133	0.9463572561	0.1678184947
134	0.9468545475	0.1668026988
135	0.9469027703	0.1663065747
136	0.9469945402	0.1660131617
137	0.9469124553	0.1653367598
138	0.9471759264	0.1651259834
139	0.9466483911	0.1643882037
140	0.9472029597	0.1641718166
141	0.9477820502	0.1639395581
142	0.9476503193	0.1636802609
143	0.9476094331	0.1632125106
144	0.9481236743	0.1624036621
145	0.947819087	0.1617975642
146	0.9479753131	0.1615437714
147	0.9479271071	0.1614129479
148	0.9479271071	0.1611736948
149	0.9485026416	0.160531436
150	0.9485432295	0.1602603302
151	0.9490825712	0.1600063209
152	0.9487658793	0.1595520744
153	0.9491176069	0.1590580161
154	0.9491858947	0.1588311752
155	0.9489860599	0.1585601642
156	0.9493168519	0.1578886932
157	0.9494097652	0.1577017714
158	0.9500158198	0.157083705
159	0.9503316966	0.1568071446
160	0.9513984065	0.1562634249
161	0.9517828764	0.1560199344
162	0.9520983986	0.1551636585
163	0.951850964	0.1549486285
164	0.9521811139	0.1547764141
165	0.951797826	0.1544470909
166	0.952044119	0.1541168917
167	0.9531501075	0.1538499762
168	0.9535975373	0.1537124124
169	0.9541367679	0.1534666933
170	0.9537304829	0.1531899014
171	0.9544047666	0.1525553916
172	0.9544047666	0.1523949563
173	0.9560338834	0.1519563074
174	0.9559021296	0.1518304585
175	0.9564535558	0.1514420705
176	0.9563868239	0.1513012992
177	0.9570494418	0.1508536703
178	0.9571205558	0.1505195213
179	0.9574111031	0.1497824144
180	0.9574334151	0.1492891815
181	0.9572522976	0.1490645698
182	0.9577811962	0.1479081613
183	0.9588906823	0.1472594241
184	0.9586151167	0.1468683493
185	0.9595040994	0.1465609686
186	0.9595534534	0.1463060351
187	0.9596694991	0.1461888858
188	0.9599331053	0.145930004
189	0.9602387232	0.1458138362
190	0.9603709825	0.1454960502
191	0.9605274404	0.1453668518
192	0.9603304349	0.1451295104
193	0.9604128238	0.1447039573
194	0.9601072064	0.1443545637
195	0.9602371019	0.1442001213
196	0.9604843345	0.1438338634
197	0.9602026817	0.1436396905
198	0.9597714328	0.1432012526
199	0.9600195041	0.143030629
200	0.9604763537	0.1427779269
201	0.9607244452	0.1425920871
202	0.9609478035	0.1423099638
203	0.9613094935	0.1419486553
204	0.9617961664	0.1417428854
205	0.9616386014	0.1415298527
206	0.9615068428	0.1413982512
207	0.9615810032	0.1408376021
208	0.9617622013	0.1407133393
209	0.9617622013	0.1405771931
210	0.9619449293	0.1401643511
211	0.9621838019	0.1399121264
212	0.9623663606	0.1395775252
213	0.9616970954	0.1394844094
214	0.9618535999	0.1392862223
215	0.9618535999	0.1392039441
216	0.9623901481	0.1386727681
217	0.9627986146	0.1382788942
218	0.9627986146	0.1381701303
219	0.9632451615	0.1379124953
220	0.9629304619	0.1376564605
221	0.963334843	0.137374487
222	0.9634833692	0.1371728983
223	0.9641969807	0.1369628562
224	0.9641317824	0.1364502008
225	0.9641317824	0.1361974287
226	0.9637036774	0.1358576841
227	0.9640587577	0.1357456743
228	0.9645455052	0.1355271271
229	0.964549086	0.1353000975
230	0.9647477379	0.1351510597
231	0.9650361058	0.1350020924
232	0.9652340137	0.1346849776
233	0.9656120921	0.1339215512
234	0.96599272	0.1336845229
235	0.96599272	0.1334466685
236	0.9662151712	0.1331000796
237	0.9661777776	0.1329289153
238	0.9665336479	0.1327436229
239	0.9668138973	0.1323606154
240	0.9670197973	0.132160858
241	0.9670197973	0.1320980285
242	0.9669017936	0.1317540779
243	0.9667701671	0.1315815692
244	0.9671487815	0.1312332961
245	0.9671240238	0.1311508698
246	0.9669924038	0.1310273259
247	0.9669672988	0.130774735
248	0.9669003587	0.1305035977
249	0.9677269918	0.1300664522
250	0.9673571511	0.1297674841
251	0.9679600201	0.1296018106
252	0.9686062282	0.1293503356
253	0.9682853953	0.1292617579
254	0.9682846759	0.1291652876
255	0.9682716527	0.1289453571
256	0.9682716527	0.1287676607
257	0.9688499911	0.128580452
258	0.9693935389	0.1281436369
259	0.9692115811	0.1277178738
260	0.9695665591	0.1275887432
261	0.9698800466	0.127095003
262	0.9698800466	0.1270278313
263	0.9696523928	0.1268924126
264	0.969784036	0.1267429902
265	0.9697266436	0.1265554364
266	0.9699004639	0.1262943779
267	0.9698087864	0.1260603752
268	0.970163767	0.1258354847
269	0.9701885173	0.1257069839
270	0.9700607335	0.1252381732
271	0.9700607335	0.1251040159
272	0.970110234	0.1249609905
273	0.9700854838	0.1248144148
274	0.9705473509	0.1245981597
275	0.9710435294	0.1239430947
276	0.9711364915	0.1238108787
277	0.9707815146	0.1236752941
278	0.9708979161	0.1234388338
279	0.9708979161	0.1233269296
280	0.9706746098	0.1232446213
281	0.9708310146	0.1231192058
282	0.970913161	0.123052909
283	0.970913161	0.1228342564
284	0.970913161	0.1225378706
285	0.970962661	0.1222350746
286	0.9713575509	0.1221081702
287	0.9713341147	0.1216592408
288	0.972071072	0.1215062341
289	0.9724260432	0.1213832406
290	0.9724758719	0.1208602014
291	0.972723899	0.1205993326
292	0.972723899	0.1203346748
293	0.9725006107	0.1202484483
294	0.9729471736	0.1201279939
295	0.9728555818	0.1200092342
296	0.9730788674	0.1198258246
297	0.9730541286	0.1196107794
298	0.9731858142	0.1195530671
299	0.9735407855	0.1193699164
300	0.9735655243	0.1191721307
301	0.9737640667	0.119055733
302	0.9740274398	0.1189574092
303	0.9741591144	0.1188223927
304	0.9741591144	0.1187264471
305	0.9740274398	0.1185436677
306	0.9740331458	0.1183942253
307	0.973694049	0.1181835354
308	0.9740488667	0.118022998
309	0.9741805095	0.1177251762
310	0.9749148905	0.1176170302
311	0.9744227191	0.1174252398
312	0.9746515864	0.1172985743
313	0.9750465315	0.1171715966
314	0.9747929087	0.1169724905
315	0.9745448196	0.1166230907
316	0.9749054818	0.1164702654
317	0.9749054818	0.1164059942
318	0.9751286836	0.1162273181
319	0.9751286836	0.1161412891
320	0.9749970499	0.1160674495
321	0.9751997924	0.1157767032
322	0.9751997924	0.1156726922
323	0.9749365031	0.1154755887
324	0.9751622875	0.1151911187
325	0.9752939407	0.1150126229
326	0.9754008186	0.1147838637
327	0.9755324571	0.1147290454
328	0.9756640885	0.1146190289
329	0.9759273303	0.1144564704
330	0.9761503923	0.1142118392
331	0.9760683007	0.1141614927
332	0.9760683007	0.1140035896
333	0.9767263686	0.1135910695
334	0.9767263686	0.1135021314
335	0.9767263686	0.1134048959
336	0.9768746757	0.1129573455
337	0.9770062702	0.1128653689
338	0.9773609793	0.1127628489
339	0.9775559143	0.1126253401
340	0.9769627938	0.1123736177
341	0.9768499105	0.1123015003
342	0.9767678398	0.1120906614
343	0.9766763252	0.111925418
344	0.9762567644	0.1117800692
345	0.9768746975	0.1115454339
346	0.9771378525	0.1114029223
347	0.9774926168	0.1112803746
348	0.9774257819	0.1111423985
349	0.9777309893	0.1109015836
350	0.9776241885	0.1107033308
351	0.9777557544	0.1106057521
352	0.977731278	0.1103544829
353	0.9777560449	0.1100855419
354	0.9777560449	0.1100269948
355	0.9779544621	0.109945466
356	0.977979229	0.1098994221
357	0.9781355643	0.1097015008
358	0.9782271669	0.1095321167
359	0.9783832488	0.1093369753
360	0.9785932998	0.1091961793
361	0.9782866376	0.108480212
362	0.9783796685	0.1083150602
363	0.9785112518	0.1079279413
364	0.9784196338	0.1078725084
365	0.9782880648	0.1076799257
366	0.9786194636	0.1074184718
367	0.978469163	0.1071975286
368	0.9786923585	0.1071128465
369	0.9788239305	0.1070007637
370	0.9786923585	0.1068161912
371	0.9786923585	0.1067511104
372	0.9786923585	0.1065198062
373	0.9792703013	0.1063041932
374	0.9790071184	0.1062486744
375	0.97923027	0.1058914505
376	0.9793618726	0.1058442199
377	0.979386637	0.1057392871
378	0.9794549038	0.1055540127
379	0.9798096577	0.1052366413
380	0.9797848932	0.1051554244
381	0.9799164921	0.1049631643
382	0.9799164921	0.104773046
383	0.9799412567	0.1046624736
384	0.9799412567	0.1046228902
385	0.9799660211	0.1044831247
386	0.9799660211	0.1042371014
387	0.9799660211	0.1041929455
388	0.9799660211	0.1041061617
389	0.9799660211	0.1040271893
390	0.9800788756	0.1037960137
391	0.9801036396	0.103630719
392	0.9801036396	0.1034962258
393	0.9803420456	0.1033901295
394	0.9803420456	0.1033075133
395	0.980435077	0.1031112396
396	0.9807862887	0.1026883127
397	0.9805666539	0.1023921785
398	0.9806161817	0.1021544332
399	0.9808545563	0.1019952925
400	0.9808793202	0.1017986773
401	0.9808793202	0.1017010838
402	0.9808793202	0.1016247901
403	0.9808793202	0.1014158701
404	0.9808793202	0.1013014223
405	0.9808793202	0.1011919691
406	0.9808793202	0.1011167884
407	0.9808545563	0.1010151193
408	0.9806982257	0.1008832411
409	0.9808545563	0.100709035
410	0.9808545563	0.1006622564
411	0.9808545563	0.1003301703
412	0.9808545563	0.1002584147
413	0.9807229896	0.1000246536
414	0.9808146034	0.09979095284
415	0.9808146034	0.09963695668
416	0.9811025206	0.09950801051
417	0.9811025206	0.09940815993
418	0.9811025206	0.09932451548
419	0.9811025206	0.09928131034
420	0.9809709465	0.09919293369
421	0.9812436566	0.09906361123
422	0.9812686991	0.09890838151
423	0.9812439374	0.0984070564
424	0.9815070951	0.0982971934
425	0.9816309027	0.09809833551
426	0.9816556639	0.09804418253
427	0.9816556639	0.09798361339
428	0.9817624741	0.09794853764
429	0.9818940406	0.09777951905
430	0.9818940406	0.09766772638
431	0.9817624741	0.09760521575
432	0.9817624741	0.09741317562
433	0.9817872353	0.09736588906
434	0.9818119964	0.09702340545
435	0.9818119964	0.09681955636
436	0.9818367574	0.09665093806
437	0.981836491	0.09650445419
438	0.981836491	0.09644923435
439	0.981836491	0.09631970886
440	0.981836491	0.09626329871
441	0.981836491	0.09602432025
442	0.9821912588	0.09586175403
443	0.9825460261	0.09565716513
444	0.9825212633	0.09558439921
445	0.9825460261	0.09554029515
446	0.9825460261	0.09541620031
447	0.9823723528	0.09529168187
448	0.98244664	0.09503136259
449	0.9824218777	0.09480270477
